ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
OLDER ADULT CENTER CONTRACTS,C7204,RAICES BLAND SOCIAL CLUB (C72),SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,40-15 College Point Blvd,FLUSHING,NY,11354,QUEENS,718-694-0895,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.757803,-73.83414,407,20,871,4443443,4050370008,Flushing,POINT (-73.83414 40.757803)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6802,JASA BUSHWICK HYLAN NORC (N68),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,50 Humboldt Street,BROOKLYN,NY,11206,BROOKLYN,718-408-7532,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.703179,-73.940761,301,34,489,3338434,3031290001,Bushwick South,POINT (-73.940761 40.703179)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6201,SELFHELP BOULEVARD GARDENS NORC (N62),SELFHELP COMMUNITY SERVICES INC,51-42 30th AVENUE,FLUSHING,NY,11377,QUEENS,646-648-3202,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.759516,-73.904993,401,22,295,4431254,4011110001,Woodside,POINT (-73.904993 40.759516)
OLDER ADULT CENTER CONTRACTS,C1202,BCA DYKER HEIGHTS OLDER ADULT CENTER (C12),BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,TBD -- 6521 8th AVE OR 911 66th St Broo,BROOKLYN,NY,11219,BROOKLYN,718-622-3333,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,,,,,,,,,
HOME DELIVERED MEAL SERVICE CONTRACTS,42G01,JASA HOME DELIVERED MEALS - QUEENS 7 (42G),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,131 Beach 19th Street,FAR ROCKAWAY,NY,11691,QUEENS,718-769-7455,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.593761,-73.753207,414,31,998,4301622,4158100055,Far Rockaway-Bayswater,POINT (-73.753207 40.593761)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5101,CENTER LIGHT PARKCHESTER ENHANCED NORC (N51),CENTERLIGHT HEALTH SYSTEM INC.,1525 Unionport Road,BRONX,NY,10462,BRONX,718-409-1619,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.836585,-73.856898,209,18,212,2096653,2039387501,Parkchester,POINT (-73.856898 40.836585)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6901,NEIGHBORHOOD SHOPP NORC -LAFAYETTE ESTATES (N69),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,953 SOUTHERN BLVD,BRONX,NY,10459,BRONX,718-542-0006,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.82084,-73.872649,209,17,28,2092725,2036270030,Soundview-Castle Hill-Clason Point-Harding Park,POINT (-73.872649 40.82084)
OLDER ADULT CENTER CONTRACTS,C2101,CPC BROOKLYN SENIOR CENTER (C21),CHINESE AMERICAN PLANNING COUNCIL INC,4101 8th Ave,BROOKLYN,NY,11232,BROOKLYN,917-922-8382,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.64607,-73.998544,312,38,92,3018218,3009230009,Sunset Park East,POINT (-73.998544 40.64607)
OLDER ADULT CENTER CONTRACTS,C7205,TIMES PLAZA CENTER OAC (C72),SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,460 Atlantic Avenue,BROOKLYN,NY,11217,BROOKLYN,718-694-0895,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.686296,-73.983223,302,33,41,3000937,3001840025,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,POINT (-73.983223 40.686296)
HOME DELIVERED MEAL SERVICE CONTRACTS,4TV01,INDIA HOME (4TV),INDIA HOME INC,178-36 Wexford Terrace,JAMAICA,NY,11432,QUEENS,917-288-7600,Y,,,,,,,,,,,,,,,40.713508,-73.784561,408,24,466,4534092,4099377501,Jamaica Estates-Holliswood,POINT (-73.784561 40.713508)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6301,SPRING CREEK NORC (N63),SPRING CREEK SENIOR PARTNERS INC,160 SCHROEDERS AVENUE,BROOKLYN,NY,11239,BROOKLYN,718-348-7620,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.648735,-73.879612,305,42,1058,3343606,3044520200,Starrett City,POINT (-73.879612 40.648735)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5401,HANAC QUEENSVIEW NORC (N54),HANAC INC.,33-34 Crescent Street,LONG ISLAND CITY,NY,11106,QUEENS,718-433-9045,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.762105,-73.929717,401,22,45,4430862,4005570003,Astoria,POINT (-73.929717 40.762105)
OLDER ADULT CENTER CONTRACTS,C9302,YOUNG AT HEART SENIOR CENTER AT THE FLATBUSH YMCA (C93),YMCA OF GREATER NEW YORK,1401 Flatbush Avenue,BROOKLYN,NY,11210,BROOKLYN,212-630-9645,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.636511,-73.951539,314,45,788,3120877,3052280008,Flatbush,POINT (-73.951539 40.636511)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6801,JASA CO OP CITY NORC (N68),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2049 Bartow Avenue,BRONX,NY,10475,BRONX,718-320-2066,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.86942,-73.829027,210,12,46201,2097466,2051410100,Co-op City,POINT (-73.829027 40.86942)
OLDER ADULT CENTER CONTRACTS,C7401,PROSPECT HILL NSC (C74),ST JOHN ST MATTHEW EMANUEL LUTHERAN CHURCH,283 Prospect Avenue,BROOKLYN,NY,11215,BROOKLYN,718-726--964,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.663323,-73.989165,307,39,141,3337801,3010530073,Park Slope-Gowanus,POINT (-73.989165 40.663323)
OLDER ADULT CENTER CONTRACTS,C9006,WAYSIDE OUT TOMPKINS LOUIS ARMSTRONG CENTER (C90),WAYSIDE OUT-REACH DEVELOPMENT INC,360 Nostrand Avenue,BROOKLYN,NY,11216,BROOKLYN,718-638-3001,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.687303,-73.950965,303,36,243,3350437,3018020051,Bedford,POINT (-73.950965 40.687303)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6805,JASA TRUMPS UNITED NORC (N68),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,458 NEPTUNE AVENUE,BROOKLYN,NY,11224,BROOKLYN,718-372-8815,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.579782,-73.970866,313,48,356,3196580,3072740001,West Brighton,POINT (-73.970866 40.579782)
HOME DELIVERED MEAL SERVICE CONTRACTS,28E01,RISEBORO HOME DELIVERED MEALS - BROOKLYN 1 (28E),RISEBORO COMMUNITY PARTNERSHIP INC,80 Seigel St.,BROOKLYN,NY,11206,BROOKLYN,718-416-4599,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.704366,-73.943775,301,34,491,3071447,3030960030,East Williamsburg,POINT (-73.943775 40.704366)
HOME DELIVERED MEAL SERVICE CONTRACTS,42S01,CORONA CONG HOME DELIVERED MEALS - QUEENS 6 (42S),CORONA CONGREGATIONAL CHURCH,102-19 34th Avenue,FLUSHING,NY,11368,QUEENS,718-899-0553,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.755725,-73.865988,403,21,379,4043070,4017360006,North Corona,POINT (-73.865988 40.755725)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5601,ISABELLA GERIATRIC FT GEORGE VISTAS NORC (N56),ISABELLA GERIATRIC CENTER INC,17 FT. GEORGE HILL,NEW YORK,NY,10040,MANHATTAN,212-304-1064,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.8577,-73.927505,112,10,283,1064067,1021700131,Washington Heights North,POINT (-73.927505 40.8577)
OLDER ADULT CENTER CONTRACTS,C0804,BERGEN BASIN MIDWOOD OLDER ADULT CENTER (C08),BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,2164 Ralph Avenue,BROOKLYN,NY,11234,BROOKLYN,718-253-5557,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.625065,-73.917858,318,46,692,3218178,3078390001,Flatlands,POINT (-73.917858 40.625065)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6803,JASA CONEY ISLAND ACTIVE AGING NORC (N68),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2950 WEST 35TH STREET,BROOKLYN,NY,11224,BROOKLYN,718-943-7812,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.573838,-74.000493,313,47,342,3189511,3070460022,Seagate-Coney Island,POINT (-74.000493 40.573838)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6102,SAMUEL FIELD Y DEEPDALE GARDENS NORC (N61),SAMUEL FIELD YM & YWHA INC,57-17 Marathon Parkway,FLUSHING,NY,11362,QUEENS,718-225-3929,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.75942,-73.731285,411,23,152902,4459800,4083370001,Douglas Manor-Douglaston-Little Neck,POINT (-73.731285 40.75942)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6804,JASA WARBASSE CARES NORC (N68),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2844 OCEAN PARKWAY,BROOKLYN,NY,11235,BROOKLYN,718-996-5200,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.580542,-73.968428,313,47,356,3320735,3072530001,West Brighton,POINT (-73.968428 40.580542)
OLDER ADULT CENTER CONTRACTS,C9801,CROWN HEIGHTS PRESERVATION COMMITTEE CORP (C98),CROWN HEIGHTS PRESERVATION CORP,483 Albany Avenue,BROOKLYN,NY,11203,BROOKLYN,718-774-9213,Y,,,,,,,,,,,,,,,40.663388,-73.939975,309,41,331,3038418,3014267501,Crown Heights South,POINT (-73.939975 40.663388)
OLDER ADULT CENTER CONTRACTS,C4402,JAMAICA MUSLIM CENTER (C44),INDIA HOME INC,85-37 JMC Way,JAMAICA,NY,11432,QUEENS,917-825-1559,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.713247,-73.796339,408,24,454,4210720,4098510017,Briarwood-Jamaica Hills,POINT (-73.796339 40.713247)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N7401,AMALGAMATED PK RESEVOIR NORC (N74),YM YWHA OF THE BRONX dba RIVERDALE YM YWHA,98 VAN CORTLANDT PARK SOUTH,BRONX,NY,10463,BRONX,718-548-4990,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.905009,-73.907133,208,11,323,2086312,2059520374,North Riverdale-Fieldston-Riverdale,POINT (-73.907133 40.905009)
OLDER ADULT CENTER CONTRACTS,C5604,QCH QUEENS CENTER FOR GAY SENIORS (QCGS) OAC (C56),QUEENS COMMUNITY HOUSE INC.,37-06 77th Street,FLUSHING,NY,11372,QUEENS,718-533-6459,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.748907,-73.88902,403,25,287,4029864,4012870010,Jackson Heights,POINT (-73.88902 40.748907)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6001,ROCHDALE VILLAGE NORC (N60),ROCHDALE VILLAGE SOCIAL SERVICES INC,169-65 137TH AVENUE,JAMAICA,NY,11434,QUEENS,718-286-1541,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.672622,-73.770641,412,28,33402,4436348,4124950002,Springfield Gardens North,POINT (-73.770641 40.672622)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N7301,VISION URBANA NORC (N73),VISION URBANA INC.,75 DELANCEY STREET,NEW YORK,NY,10002,MANHATTAN,646-626-9748,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.717466,-73.985004,103,01,1402,1089451,1003477501,Lower East Side,POINT (-73.985004 40.717466)
OLDER ADULT CENTER CONTRACTS,C1102,BRONXWORKS E. ROBERTS MOORE OAC (C11),BRONXWORKS INC,515 Jackson Avenue,BRONX,NY,10455,BRONX,718-665-5559,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.812353,-73.909401,201,08,35,2091284,2025570083,Mott Haven-Port Morris,POINT (-73.909401 40.812353)
OLDER ADULT CENTER CONTRACTS,W1503,INDEPENDENCE PLAZA (W15),GREENWICH HOUSE INC.,310 Greenwich Street,NEW YORK,NY,10013,MANHATTAN,212-267-0499,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.717604,-74.010667,101,01,39,1083243,1001420025,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.010667 40.717604)
OLDER ADULT CENTER CONTRACTS,C5301,OCEAN BAY CDC OLDER ADULT CENTER (C53),OCEAN BAY COMMUNITY DEVELOPMENT CORPORATION,57-17 Shore Front Parkway,FAR ROCKAWAY,NY,11693,QUEENS,718-945-8640,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.588954,-73.78843,414,31,97202,4536732,4159260001,Hammels-Arverne-Edgemere,POINT (-73.78843 40.588954)
OLDER ADULT CENTER CONTRACTS,C6904,EDIE WINDSOR SAGE CENTER (C69),SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,305 7th Avenue,NEW YORK,NY,10001,MANHATTAN,646-576-8669,Y,11:00,08:00,11:00,08:00,11:00,08:00,11:00,08:00,11:00,08:00,00:00,00:00,00:00,00:00,40.746817,-73.993655,105,03,95,1015060,1008037502,Midtown-Midtown South,POINT (-73.993655 40.746817)
OLDER ADULT CENTER CONTRACTS,W2404,WAGNER SATELLITE (W24),UNION SETTLEMENT ASSOCIATION,435 East 120th Street,NEW YORK,NY,10035,MANHATTAN,212-987-2980,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.798041,-73.932186,111,08,192,1081287,1018080001,East Harlem North,POINT (-73.932186 40.798041)
OLDER ADULT CENTER CONTRACTS,C1104,BRONXWORKS HEIGHTS SC (C11),BRONXWORKS INC,200 West Tremont Avenue Bronx NY 10453,BRONX,NY,10453,BRONX,718-299-0300,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.851984,-73.916804,205,14,20502,2008966,2028770522,University Heights-Morris Heights,POINT (-73.916804 40.851984)
OLDER ADULT CENTER CONTRACTS,W1907,PSS KING TOWERS (W19),PRESBYTERIAN SENIOR SERVICES,50 LENOX AVENUE,NEW YORK,NY,10026,MANHATTAN,917-734-4452,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.799593,-73.951421,110,09,186,1083312,1015960001,Central Harlem South,POINT (-73.951421 40.799593)
OLDER ADULT CENTER CONTRACTS,W1505,WESTBETH (W15),GREENWICH HOUSE INC.,155 Bank Street,NEW YORK,NY,10014,MANHATTAN,212-255-5191,Y,00:00,00:00,09:00,06:00,09:00,06:00,09:00,06:00,09:00,05:00,09:00,01:00,00:00,00:00,40.736095,-74.009205,102,03,79,1012047,1006390001,West Village,POINT (-74.009205 40.736095)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6601,EDUCATIONAL ALLIANCE CO OP VILLAGE NORC (N66),THE EDUCATIONAL ALLIANCE INC,465 Grand Street,NEW YORK,NY,10002,MANHATTAN,646-395-4270,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.715133,-73.984031,103,01,1401,1004056,1003150070,Lower East Side,POINT (-73.984031 40.715133)
OLDER ADULT CENTER CONTRACTS,C1101,BRONXWORKS CAROLYN MCLAUGHLIN COMMUNITY CENTER -CONCOURSE OAC (C11),BRONXWORKS INC,1130 Grand Concourse,BRONX,NY,10455,BRONX,718-508-3040,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.832331,-73.91959,204,16,18102,2002833,2024620042,East Concourse-Concourse Village,POINT (-73.91959 40.832331)
OLDER ADULT CENTER CONTRACTS,W2203,JASA EINSTEIN (W22),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,135 EINSTEIN LOOP,BRONX,NY,10475,BRONX,718-320-2066,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.864255,-73.82203,210,12,302,2095160,2051350210,Co-op City,POINT (-73.82203 40.864255)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5201,LINCOLN SQUARE NORC (N52),GODDARD-RIVERSIDE COMMUNITY CENTER,250 W. 66TH STREET,NEW YORK,NY,10023,MANHATTAN,212-724-6720,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.77501,-73.98689,107,06,151,1030340,1011560020,Lincoln Square,POINT (-73.98689 40.77501)
OLDER ADULT CENTER CONTRACTS,W1605,JAMES MONROE (W16),INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,1780 Story Avenue,BRONX,NY,10473,BRONX,718-893-3484,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.823265,-73.865779,209,18,42,2092748,2036370001,Soundview-Castle Hill-Clason Point-Harding Park,POINT (-73.865779 40.823265)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5301,HAMILTON MADISON ALFRED SMITH HOUSES NORC (N53),HAMILTON MADISON HOUSE INC,50 Madison Street,NEW YORK,NY,10038,MANHATTAN,212-788-5580,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.711958,-73.997825,103,01,25,1077420,1001110100,Chinatown,POINT (-73.997825 40.711958)
OLDER ADULT CENTER CONTRACTS,C4301,HOPE OF ISRAEL SENIOR CITIZENS CENTER (C43),HOPE OF ISRAEL SENIOR CITIZENS CENTER INC,1068 Gerard Avenue,BRONX,NY,10452,BRONX,718-665-8400,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.832289,-73.922123,204,16,195,2002944,2024780007,West Concourse,POINT (-73.922123 40.832289)
OLDER ADULT CENTER CONTRACTS,W2402,WASHINGTON LEXINGTON SATELLITE (W24),UNION SETTLEMENT ASSOCIATION,1775 THIRD AVENUE,NEW YORK,NY,10029,MANHATTAN,212-828-6115,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.786574,-73.948303,111,08,15602,1079203,1016470001,East Harlem South,POINT (-73.948303 40.786574)
HOME DELIVERED MEAL SERVICE CONTRACTS,11S01,EAST SIDE HOUSE HOME DELIVERED MEALS - BRONX 1 (11S),EAST SIDE HOUSE INC,805 E. 139TH STREET,BRONX,NY,10454,BRONX,718-665-5250,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.804413,-73.909661,201,17,19,2004017,2025910037,Mott Haven-Port Morris,POINT (-73.909661 40.804413)
OLDER ADULT CENTER CONTRACTS,C5803,RAIN BOSTON SECOR OAC (C58),REGIONAL AID FOR INTERIM NEEDS INC,3540 Bivona Street,BRONX,NY,10475,BRONX,718-671-8550,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.883026,-73.833227,212,12,46202,2093879,2052630070,Co-op City,POINT (-73.833227 40.883026)
OLDER ADULT CENTER CONTRACTS,C8701,UNIVERSITY SETTLEMENT OAC (C87),UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,189 Allen Street,NEW YORK,NY,10002,MANHATTAN,212-453-4564,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.722133,-73.988964,103,01,3601,1005537,1004170001,Chinatown,POINT (-73.988964 40.722133)
OLDER ADULT CENTER CONTRACTS,W1905,PSS MANHATTANVILLE (W19),PRESBYTERIAN SENIOR SERVICES,530 West 133rd Street,NEW YORK,NY,10027,MANHATTAN,212-862-5562,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.818127,-73.954478,109,07,219,1084130,1019840001,Manhattanville,POINT (-73.954478 40.818127)
OLDER ADULT CENTER CONTRACTS,C1501,CANAAN SENIOR SERVICE CENTER (C15),CANAAN BAPTIST CHURCH OF CHRIST,1428 5th Avenue,NEW YORK,NY,10035,MANHATTAN,212-876-2638,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.80115,-73.946121,110,09,190,1051430,1016000021,Central Harlem South,POINT (-73.946121 40.80115)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5801,PENN SOUTH NORC (N58),PENN SOUTH SOCIAL SERVICES INC,290 9TH AVENUE,NEW YORK,NY,10001,MANHATTAN,212-243-3670,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.748925,-73.999545,104,03,97,1082794,1007510001,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.999545 40.748925)
OLDER ADULT CENTER CONTRACTS,C6902,SAGE CENTER HARLEM (C69),SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,220 West 143rd Street,NEW YORK,NY,10030,MANHATTAN,929-458-0170,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.8208,-73.94113,110,09,232,1086084,1020280016,Central Harlem North-Polo Grounds,POINT (-73.94113 40.8208)
HOME DELIVERED MEAL SERVICE CONTRACTS,33C01,ENCORE HOME DELIVERED MEALS - MANHATTAN 2 (33C),ENCORE COMMUNITY SERVICES,239 West 49th Street,NEW YORK,NY,10019,MANHATTAN,212-581-3490,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.761143,-73.985312,105,03,125,1024789,1010210009,Midtown-Midtown South,POINT (-73.985312 40.761143)
CAREGIVER SERVICES CONTRACTS,6K101,HMH CAREGIVER SERVICES (6K1),HAMILTON MADISON HOUSE INC,100 Gold Street Lower Level,NEW YORK,NY,10038,MANHATTAN,212-788-5580,Y,07:00,03:00,07:00,03:00,07:00,03:00,07:00,03:00,07:00,03:00,00:00,00:00,00:00,00:00,40.710353,-74.004007,101,01,1501,1001289,1000940025,Battery Park City-Lower Manhattan,POINT (-74.004007 40.710353)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5303,CONFUCIOUS PLAZA NORC (N53),HAMILTON MADISON HOUSE INC,185 PARK ROW,NEW YORK,NY,10038,MANHATTAN,212-349-3724,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.713141,-74.000115,103,01,27,1077407,1001170001,Chinatown,POINT (-74.000115 40.713141)
ELDER ABUSE SERVICES CONTRACTS,3E201,ELDER ABUSE PREVENTION & INTERVENTION (3E2),CARTER BURDEN NETWORK INC.,312 East 109th Street,NEW YORK,NY,10029,MANHATTAN,212-879-7400,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.792306,-73.94048,111,08,170,1074278,1016800045,East Harlem South,POINT (-73.94048 40.792306)
HOMECARE SERVICES CONTRACTS,3HD01,NY FOUNDATION FOR SENIOR CITIZENS HOME ATTENDANT SERVICES (3HD),NEW YORK FOUNDATION FOR SENIOR CITIZENS HOME ATTENDANT SERVI,11 PARK PLACE,NEW YORK,NY,10007,MANHATTAN,212-962-7559,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.712828,-74.008296,101,01,21,1001399,1001240004,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.008296 40.712828)
HOME DELIVERED MEAL SERVICE CONTRACTS,24E01,JASA HOME DELIVERED MEALS - BROOKLYN 6 (24E),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,1201 Pennsylvania Avenue  #1A,BROOKLYN,NY,11239,BROOKLYN,718-769-7455,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.753475,-73.990594,105,03,109,1014454,1007870011,Midtown-Midtown South,POINT (-73.990594 40.753475)
CAREGIVER SERVICES CONTRACTS,3K301,LENOX HILL NEIGHBORHOOD HOUSE (3K3),LENOX HILL NEIGHBORHOOD HOUSE INC,331 EAST  70 STREET,NEW YORK,NY,10021,MANHATTAN,212-744-5022,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.766925,-73.95795,108,05,126,1044838,1014450014,Lenox Hill-Roosevelt Island,POINT (-73.95795 40.766925)
