Contract Type,Provider ID,Program Name,Sponsor Name,Program Address,Program Borough,Program Zipcode,Program Phone
NEIGHBORHOOD SENIOR CENTE,32801,CANAAN NEIGHBORHOOD SENIOR CENTER,CANAAN BAPTIST CHURCH OF CHRIST ,1428 FIFTH AVENUE,NEW YORK,10035,212-876-2638 
NEIGHBORHOOD SENIOR CENTE,32B01,UNIVERSITY SETTLEMENT NSC,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,189 ALLEN STREET,NEW YORK,10002,212-473-8217 
NEIGHBORHOOD SENIOR CENTE,32C01,RIVERSTONE SENIOR LIFE NSC,RIVERSTONE SENIOR LIFE SERVICES INC.,99 FORT WASHINGTON AVENUE,NEW YORK,10032,212-927-5600 
NEIGHBORHOOD SENIOR CENTE,32M01,ENCORE NEIGHBORHOOD SENIOR CENTER,ENCORE COMMUNITY SERVICES  ,239 WEST 49TH STREET,NEW YORK,10019,212-581-2910 
NEIGHBORHOOD SENIOR CENTE,32N01,JOHN PAUL II FRIENDSHIP NEIGHBORHOOD SC,POLISH & SLAVIC CENTER INC  ,103 EAST 7TH STREET,NEW YORK,10009,212-673-7704 
NEIGHBORHOOD SENIOR CENTE,32P01,LENOX HILL NEIGHBORHOOD SENIOR CENTER,LENOX HILL NEIGHBORHOOD HOUSE INC ,619 LEXINGTON AVENUE,NEW YORK,10022,212-308-1959 
NEIGHBORHOOD SENIOR CENTE,32R01,MOTT STREET NEIGHBORHOOD SENIOR CENTER,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,180 MOTT STREET,NEW YORK,10012,212-966-5480 
NEIGHBORHOOD SENIOR CENTE,32T01,PSS HARLEM NEIGHBORHOOD SENIOR CENTER,PRESBYTERIAN SENIOR SERVICES  ,18 MT. MORRIS PARK WEST,NEW YORK,10027,212-222-3132 
NEIGHBORHOOD SENIOR CENTE,32T03,PSS MANHATTANVILLE SENIOR CENTER,PRESBYTERIAN SENIOR SERVICES  ,530 WEST 133RD STREET,NEW YORK,10027,212-862-5562 
NEIGHBORHOOD SENIOR CENTE,32W01,CARVER NEIGHBORHOOD SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,55 EAST 102ND STREET,NEW YORK,10029,212-289-2708 
NEIGHBORHOOD SENIOR CENTE,32Y01,THE CENTER AT THE RED OAK NEIGHBR SR CTR,WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOU,135 WEST 106TH STREET,NEW YORK,10025,646-214-2560 
NEIGHBORHOOD SENIOR CENTE,32Z01,OUR LADY OF POMPEII NSC,"GREENWICH HOUSE, INC. ",25 CARMINE STREET,NEW YORK,10014,212-989-3620 
NEIGHBORHOOD SENIOR CENTE,33201,CPC PROJECT OPEN DOOR NEIGHBORHOOD SC,CHINESE AMERICAN PLANNING COUNCIL INC,168 GRAND STREET,NEW YORK,10013,212-431-9026 
NEIGHBORHOOD SENIOR CENTE,33701,UJC ADULT LUNCHEON CLUB NSC,UNITED JEWISH COUNCIL OF THE EAST SIDE INC ,15 BIALYSTOKER PLACE,NEW YORK,10002,212-673-9328 
NEIGHBORHOOD SENIOR CENTE,33702,UJC Lillian Wald Houses Senior Center,UNITED JEWISH COUNCIL OF THE EAST SIDE INC ,12 AVENUE D,NEW YORK,10009,212-260-2731 
NEIGHBORHOOD SENIOR CENTE,33703,UJC Extended Services,UNITED JEWISH COUNCIL OF THE EAST SIDE INC ,465 Grand Street,NEW YORK,10002,212-233-6037 
NEIGHBORHOOD SENIOR CENTE,33W01,RAIN INWOOD NEIGHBORHOOD SENIOR CENTER,REGIONAL AID FOR INTERIM NEEDS INC ,84 VERMILYEA AVENUE,NEW YORK,10034,212-567-3200 
NEIGHBORHOOD SENIOR CENTE,34001,GOOD COMPANIONS NEIGHBORHOOD SENIOR CENT,HENRY STREET SETTLEMENT  ,334 MADISON STREET,NEW YORK,10002,212-349-2770 
NEIGHBORHOOD SENIOR CENTE,34101,CENTRAL HARLEM KENNEDY SR CTR,"CENTRAL HARLEM SENIOR CITIZENS CENTERS, INC.",2322 Third Avenue,NEW YORK,10037,212-926-4465 
NEIGHBORHOOD SENIOR CENTE,34103,Beatrice Lewis,"CENTRAL HARLEM SENIOR CITIZENS CENTERS, INC.",34 WEST 134TH STREET,NEW YORK,10037,212-289-9155 
NEIGHBORHOOD SENIOR CENTE,34901,HUDSON GUILD NEIGHBORHOOD CENTER,HUDSON GUILD  ,441 West 26th Street,NEW YORK,10011,212-760-9805 
NEIGHBORHOOD SENIOR CENTE,35001,BRC NEIGHBORHOOD SENIOR CENTER,BOWERY RESIDENTS COMMITTEE INC  ,30 DELANCEY STREET,NYC,10002,212-533-2020 
NEIGHBORHOOD SENIOR CENTE,35301,FIND WOODSTOCK NEIGHBORHOOD SENIOR CENTE,FIND AID FOR THE AGED  ,127  WEST 43RD STREET,NEW YORK,10036,212-874-0300 
NEIGHBORHOOD SENIOR CENTE,35A01,Hamilton Grange Neighborhood Senior Center,CONVENT AVENUE BAPTIST CHURCH  ,420 WEST 145TH STREET,NEW YORK,10031,212-862-4181 
NEIGHBORHOOD SENIOR CENTE,35B01,ARC Central Harlem Senior Center,ARC XVI FORT WASHINGTON INC  ,120 WEST 140TH STREET,NEW YORK,10039,212-781-5700 
NEIGHBORHOOD SENIOR CENTE,35B02,AP Randolph Senior Center,ARC XVI FORT WASHINGTON INC  ,108 West 146th Street,NEW YORK,10030,917-639-3054 
NEIGHBORHOOD SENIOR CENTE,36001,ABSW NEIGHBORHOOD SENIOR CENTER,ASSOCIATION OF BLACK SOCIAL WORKERS INC ,221 WEST 107TH STREET,NEW YORK,10025,212-749-8400 
NEIGHBORHOOD SENIOR CENTE,36B01,The Center at the Red Oak Neighborhood Senior Cent,WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOU,135 WEST 106TH STREET,NEW YORK,10025,646-214-2560 
NEIGHBORHOOD SENIOR CENTE,37901,FIND CLINTON NEIGHBORHOOD SENIOR CENTER,FIND AID FOR THE AGED  ,530 West 55th Street,NEW YORK,10023,212-757-2026 
NEIGHBORHOOD SENIOR CENTE,39901,CORSI HOUSE NEIGHBORHOOD SENIOR CENTER,UNION SETTLEMENT ASSOCIATION ,307 East 116th Street,New York,10029,212-828-6756 
NEIGHBORHOOD SENIOR CENTE,40201,ROBERT COUCHE NEIGHBORHOOD SENIOR CEN,MERRILL PARK CIVIC ASSOCIATION OF SPRINGFIELD GARD,137-57 FARMERS BOULEVARD,SPRINGFIELD GAR,11434,718-978-8352 
NEIGHBORHOOD SENIOR CENTE,40301,RIDGEWOOD OLDER ADULT NEIGHBORHOOD SC,RIDGEWOOD OLDER ADULT CENTER AND SERVICES INC ,59-14 70TH AVENUE,RIDGEWOOD,11385,718-456-2000 
NEIGHBORHOOD SENIOR CENTE,40501,BROOKS MEMORIAL NSC,BROOKS SENIOR CENTER,143-22 109TH AVENUE,JAMAICA,11435,718-291-3955 
NEIGHBORHOOD SENIOR CENTE,40601,JSPOA FRIENDSHIP NSC,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC ,92-47 165th STREET,JAMAICA,11433,718-657-6695 
NEIGHBORHOOD SENIOR CENTE,40901,FOREST HILLS NEIGHBORHOOD SENIOR CENTER,QUEENS COMMUNITY HOUSE INC. ,108-25 62ND DRIVE,FLUSHING,11375,718-699-1010 
NEIGHBORHOOD SENIOR CENTE,40902,FOREST HILLS NEIGHBORHOOD SENIOR CENTER,QUEENS COMMUNITY HOUSE INC. ,80-02 KEW GARDENS ROAD,KEW GARDENS,11415,718-699-1010 
NEIGHBORHOOD SENIOR CENTE,40B01,CCNS HOWARD BEACH NEIGHBORHOOD SC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,155-55 CROSSBAY BOULEVARD,HOWARD BEACH,11414,718-738-8100 
NEIGHBORHOOD SENIOR CENTE,40C01,SUNNYSIDE COMMUNITY NSC,SUNNYSIDE COMMUNITY SERVICES INC ,43-31 39TH STREET,SUNNYSIDE,11104,929-335-7915 
NEIGHBORHOOD SENIOR CENTE,40M01,SELFHELP MASPETH NSC,SELFHELP COMMUNITY SERVICES INC ,69-61 GRAND AVENUE,MASPETH,11378,718-429-3636 
NEIGHBORHOOD SENIOR CENTE,40P01,ELMHURST JACKSON HEIGHTS NSC,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,75-01 BROADWAY,ELMHURST,11373,718-478-7171 
NEIGHBORHOOD SENIOR CENTE,40T01,QUEENSBRIDGE-RIIS NSC,JACOB A RIIS NEIGHBORHOOD SETTLEMENT ,10-25 41ST AVENUE,LONG ISLAND CIT,11101,718-784-7447 
NEIGHBORHOOD SENIOR CENTE,40U01,HANAC RAVENSWOOD NSC,"HANAC, INC. ",34-35 12TH STREET,ASTORIA,11106,718-786-1550 
NEIGHBORHOOD SENIOR CENTE,40X01,ROCKAWAY BLVD NSC,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC ,123-10 143rd STREET,JAMAICA,11433,718-657-6752 
NEIGHBORHOOD SENIOR CENTE,40Z01,QUEENS VALLEY NSC,YOUNG ISRAEL PROGRAMS INC  ,141-55 77TH AVENUE,FLUSHING,11367,718-263-6995 
NEIGHBORHOOD SENIOR CENTE,41001,WAVECREST AND BAYSWATER NSC,YOUNG ISRAEL PROGRAMS INC  ,2716 HEALY AVENUE,FAR ROCKAWAY,11691,718-327-0297 
NEIGHBORHOOD SENIOR CENTE,41201,HANAC ANGELO PETROMELIS NSC,"HANAC, INC. ",13-28 123RD STREET,COLLEGE POINT,11356,718-961-0344 
NEIGHBORHOOD SENIOR CENTE,41301,ALLEN COMMUNITY NEIGHBORHOOD SENIOR CT,ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZE,166-01 LINDEN BOULEVARD,JAMAICA,11433,718-658-0980 
NEIGHBORHOOD SENIOR CENTE,41401,ALPHA PHI ALPHA NEIGHBORHOOD SENIOR CTR,ALPHA PHI ALPHA SENIOR CITIZENS CENTER INC ,220-01 LINDEN BOULEVARD,CAMBRIA HEIGHTS,11411,718-528-8238 
NEIGHBORHOOD SENIOR CENTE,41601,THE YOUNG ISRAEL OF FOREST HILLS NSC,YOUNG ISRAEL PROGRAMS INC  ,68-07 BURNS STREET,FOREST HILLS,11375,718-520-2305 
NEIGHBORHOOD SENIOR CENTE,41701,MIDDLE VILLAGE NEIGHBORHOOD SENIOR CT,RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF ,69-10 75th STREET,MIDDLE VILLAGE,11379,718-894-3441 
NEIGHBORHOOD SENIOR CENTE,41A01,KCS FLUSHING NSC,KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK,42-15 166TH STREET,FLUSHING,11358,718-886-8203 
NEIGHBORHOOD SENIOR CENTE,41G01,CCNS HILLCREST NEIGHBORHOOD SENIOR CTR,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,168-01 HILLSIDE AVENUE,JAMAICA,11432,718-287-7171 
NEIGHBORHOOD SENIOR CENTE,41H01,RAICES CORONA NEIGHBORHOOD SENIOR CENT,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,107-24 CORONA AVENUE,CORONA,11368,718-458-7259 
NEIGHBORHOOD SENIOR CENTE,41Q01,WOODSIDE NEIGHBORHOOD SENIOR CENTER,"SAMARITAN DAYTOP VILLAGE, INC  ",50-37 NEWTOWN ROAD,WOODSIDE,11377,718-932-6916 
NEIGHBORHOOD SENIOR CENTE,41T01,KCS CORONA NEIGHBORHOOD SENIOR CENTER,KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK,37-06 111TH STREET,CORONA,11368,718-651-9220 
NEIGHBORHOOD SENIOR CENTE,41U01,ROY REUTHER NSC,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,711C SEAGIRT AVENUE,FAR ROCKAWAY,11691,718-471-3110 
NEIGHBORHOOD SENIOR CENTE,41Y01,CCNS OZONE PARK NSC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,103-02 101ST AVENUE,OZONE PARK,11416,718-847-2100 
NEIGHBORHOOD SENIOR CENTE,41Z01,CCNS DELLAMONICA-STEINWAY NSC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,23-56 BROADWAY,ASTORIA,11106,718-626-1500 
NEIGHBORHOOD SENIOR CENTE,42701,CCNS CATHERINE SHERIDAN NSC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,35-24 83RD STREET,JACKSON HEIGHTS,11372,718-458-4600 
NEIGHBORHOOD SENIOR CENTE,42801,PETER CARDELLA NSC,PETER CARDELLA SENIOR CITIZEN CENTER INC ,68-52 FRESH POND ROAD,RIDGEWOOD,11385,718-497-2908 
NEIGHBORHOOD SENIOR CENTE,42U01,CCNS SEASIDE NSC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,320 BEACH 94TH STREET,ROCKAWAY,11693,347-926-4119 
NEIGHBORHOOD SENIOR CENTE,42Z01,ELMCOR LEFRAK NSC,ELMCOR YOUTH & ADULT ACTIVITIES INC ,95-18 NORTHERN BOULEVARD,JACKSON HEIGHTS,11372,718-271-1222 
NEIGHBORHOOD SENIOR CENTE,43101,SELFHELP CLEARVIEW NSC,SELFHELP COMMUNITY SERVICES INC ,208-11 26TH AVENUE,BAYSIDE,11360,718-224-7888 
NEIGHBORHOOD SENIOR CENTE,43301,BAYSIDE NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,221-15 HORACE HARDING EXPRESSWAY,BAYSIDE,11364,718-225-1144 
NEIGHBORHOOD SENIOR CENTE,43601,CCNS WOODHAVEN NSC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,89-02 91ST STREET,JAMAICA,11421,718-847-9200 
NEIGHBORHOOD SENIOR CENTE,43701,REGO PARK NSC,QUEENS COMMUNITY HOUSE INC. ,93-29 QUEENS BOULEVARD,REGO PARK,11374,718-896-8511 
NEIGHBORHOOD SENIOR CENTE,43D01,SELFHELP LATIMER NST,SELFHELP COMMUNITY SERVICES INC ,34-30 137TH STREET,FLUSHING,11354,718-961-3660 
NEIGHBORHOOD SENIOR CENTE,43Q01,HOLLISWOOD NSC,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,86-25 FRANCIS LEWIS BOULEVARD,JAMAICA,11427,718-454-6157 
NEIGHBORHOOD SENIOR CENTE,43Q02,JASA CLUB 76 SENIOR CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,86-25 FRANCIS LEWIS BOULEVARD,JAMAICA,11427,212-712-0170 
NEIGHBORHOOD SENIOR CENTE,43Q03,JASA ONE STOP,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,86 25 FRANCIS LEWIS BOULEVARD,JAMAICA,11427,212-864-7900 
NEIGHBORHOOD SENIOR CENTE,43S01,RAICES ASTORIA NEIGHBORHOOD SENIOR CTR,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,21-21 30TH DRIVE,LONG ISLAND CIT,11102,718-726-9642 
NEIGHBORHOOD SENIOR CENTE,43U01,SAMUEL FIELD NEIGHBORHOOD SENIOR CENTER,SAMUEL FIELD YM & YWHA INC  ,58-20 LITTLE NECK PARKWAY,LITTLE NECK,11362,718-225-6750 
NEIGHBORHOOD SENIOR CENTE,44001,BROOKDALE NSC,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,131 BEACH 19TH STREET,FAR ROCKAWAY,11691,718-471-3200 
NEIGHBORHOOD SENIOR CENTE,44301,ROCKAWAY PARK NSC,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,106-20  Shore Front Parkway,ROCKAWAY PARK,11694,718-634-3044 
NEIGHBORHOOD SENIOR CENTE,44701,ELMCOR NSC,ELMCOR YOUTH & ADULT ACTIVITIES INC ,98-19 ASTORIA BOULEVARD,EAST ELMHURST,11369,718-457-9757 
NEIGHBORHOOD SENIOR CENTE,44D01,ROCHDALE NEIGHBORHOOD SENIOR CENTER,ROCHDALE VILLAGE SOCIAL SERVICES INC ,169-65 137TH AVENUE,JAMAICA,11434,718-525-2800 
NEIGHBORHOOD SENIOR CENTE,44J01,ALLEN AME CHURCH THEODORA JACKSON NSC,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC ,92-47 165TH STREET,JAMAICA,11433,718-657-6618 
NEIGHBORHOOD SENIOR CENTE,44L01,SELFHELP AUSTIN STREET NSC,SELFHELP COMMUNITY SERVICES INC ,106-06 QUEENS BOULEVARD,FOREST HILLS,11375,718-520-8197 
NEIGHBORHOOD SENIOR CENTE,44U01,BROOKVILLE NSC,SERVICES NOW FOR ADULT PERSONS INC ,133-33 BROOKVILLE BOULEVARD,ROSEDALE,11422,718-525-8899 
NEIGHBORHOOD SENIOR CENTE,45701,NEWTOWN ITALIAN NSC,ITALIAN SENIOR CITIZENS CENTER INC.,83-20  QUEENS BOULEVARD,ELMHURST,11373,718-335-7272 
NEIGHBORHOOD SENIOR CENTE,46001,CORONA NEIGHBORHOOD SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,10874 Roosevelt Ave,CORONA,11368,718-639-2000 
NEIGHBORHOOD SENIOR CENTE,47601,CPC NAN SHAN NSC,CHINESE AMERICAN PLANNING COUNCIL INC,133-14  41st Avenue,FLUSHING,11355,718-358-3030 
NEIGHBORHOOD SENIOR CENTE,49601,FLORENCE E. SMITH NSC,CORONA CONGREGATIONAL CHURCH  ,102-19 34TH AVENUE,CORONA,11368,718-899-0553 
NEIGHBORHOOD SENIOR CENTE,4A201,POMONOK NEIGHBORHOOD SENIOR CENTER,QUEENS COMMUNITY HOUSE INC. ,67-09 KISSENA BOULEVARD,FLUSHING,11367,718-591-3377 
NEIGHBORHOOD SENIOR CENTE,50201,ARROCHAR NEIGHBORHOOD SENIOR CENTER,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS ,85 JEROME AVENUE,STATEN ISLAND,10305,718-720-6110 
NEIGHBORHOOD SENIOR CENTE,50601,GREAT KILLS NEIGHBORHOOD SENIOR CENTER,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS ,11 SAMPSON AVENUE,STATEN ISLAND,10308,718-356-5050 
NEIGHBORHOOD SENIOR CENTE,50701,JCC SOUTH SHORE NEIGHBORHOOD SENIOR CT,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC ,1297 ARTHUR KILL ROAD,STATEN ISLAND,10312,718-475-5283 
NEIGHBORHOOD SENIOR CENTE,50A01,TODT HILL NEIGHBORHOOD SENIOR CENTER,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS ,184 SCHMIDTS LANE,STATEN ISLAND,10314,718-720-6110 
NEIGHBORHOOD SENIOR CENTE,50B01,MOUNT LORETTO NEIGHBORHOOD SENIOR CEN,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS ,6581 HYLAN BOULEVARD,STATEN ISLAND,10309,718-984-8589 
NEIGHBORHOOD SENIOR CENTE,50R01,CASSIDY COLES NEIGHBORHOOD SENIOR CENT,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,125 CASSIDY PLACE,STATEN ISLAND,10301,718-273-6808 
NEIGHBORHOOD SENIOR CENTE,50R02,CASC ASSISTANCE,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,56 BAY STREET,STATEN ISLAND,10301,718-273-6808 
NEIGHBORHOOD SENIOR CENTE,53601,ANDERSON NEIGHBORHOOD SENIOR CENTER,"CATHOLIC CHARITIES OF STATEN ISLAND, INC.",120 ANDERSON AVENUE,STATEN ISLAND,10302,718-448-5757 
NEIGHBORHOOD SENIOR CENTE,53701,NEW LANE NEIGHBORHOOD SENIOR CENTER,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,70 NEW LANE,STATEN ISLAND,10305,718-448-5936 
NEIGHBORHOOD SENIOR CENTE,54001,STAPLETON NEIGHBORHOOD SENIOR CENTER,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC ,189 GORDON STREET,STATEN ISLAND,10304,718-981-8828 
NEIGHBORHOOD SENIOR CENTE,54101,WEST BRIGHTON NEIGHBORHOOD SENIOR CENT,"CATHOLIC CHARITIES OF STATEN ISLAND, INC.",230 BROADWAY,STATEN ISLAND,10310,718-727-9763 
NORC SITES,N3401,STANLEY M ISAACS NORC,STANLEY M ISAACS NEIGHBORHOOD CENTER INC ,415 EAST 93RD STREET,NEW YORK,10128,212-360-7620 
NORC SITES,N3E01,ISABELLA GERIATRIC FT GEORGE VISTAS NORC,ISABELLA GERIATRIC CENTER INC  ,17 FT. GEORGE HILL,NEW YORK,10040,212-304-1064 
NORC SITES,N3E02,EL CORAZON NNORC,ISABELLA GERIATRIC CENTER INC  ,4026 BROADWAY,NEW YORK,10032,212-342-9617 
NORC SITES,N3E03,ISABELLA GERIATRIC RIVER TERRACE NORC,ISABELLA GERIATRIC CENTER INC  ,156-20 Riverside Drive West,NEW YORK,10032,646-230-8530 
NORC SITES,N4801,SELFHELP FRESH MEADOWS NORC,SELFHELP COMMUNITY SERVICES INC ,67-00 192  STREET,FRESH MEADOWS,11365,718-454-6288 
OTHER SATELLITE,12T02,JASA EINSTEIN SENIOR CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,135 EINSTEIN LOOP,BRONX,10475,718-379-2702 
OTHER SATELLITE,18202,Patterson Houses Senior Center,EAST SIDE HOUSE INC  ,308 EAST 145TH STREET,BRONX,10451,718-993-5146 
OTHER SATELLITE,21602,FARRAGUT SENIOR CENTER,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,228 YORK STREET,BROOKLYN,11201,718-422-1069 
OTHER SATELLITE,21603,RAICES GOWANUS SENIOR CENTER,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,420 BALTIC STREET,BROOKLYN,11201,718-797-2472 
OTHER SATELLITE,30A02,Polo Grounds,COTHOA LUNCHEON CLUB INC  ,2965 EIGHTH AVENUE,NEW YORK,10039,212-283-5475 
SOCIAL CLUB,12E02,Fort Independence Social Club,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE,3340 BAILEY AVENUE,BRONX,10463,718-796-2950 
SOCIAL CLUB,20202,Marcus Garvey Social Club,FORT GREENE COUNCIL ,1440 E NEW YORK AVENUE,BROOKLYN,11212,718-346-7167 
SOCIAL CLUB,20203,SETH LOW SOCIAL CLUB,FORT GREENE COUNCIL ,137 BELMONT AVENUE,BROOKLYN,11212,718-485-4991 
SOCIAL CLUB,26W02,Cooper Park Social Club,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,288 FROST STREET,BROOKLYN,11222,718-408-6328 
SOCIAL CLUB,30A03,Ralph J. Rangel Social Club,COTHOA LUNCHEON CLUB INC  ,159-36 HARLEM RIVER DRIVE,NEW YORK,10039,646-918-7570 
SOCIAL CLUB,32B02,MELTZER TOWER SOCIAL CLUB,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,94 EAST 1ST STREET,NEW YORK,10009,212-253-5624 
SOCIAL CLUB,32T02,KING TOWERS SOCIAL CLUB,PRESBYTERIAN SENIOR SERVICES  ,50 LENOX AVENUE,NEW YORK,10028,646-861-2077 
SOCIAL CLUB,32Y02,DOUGLAS SOCIAL CLUB,WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOU,868 AMSTERDAM AVENUE,NEW YORK,10025,646-214-2560 
SOCIAL CLUB,34102,Saint Nicholas Social Club,"CENTRAL HARLEM SENIOR CITIZENS CENTERS, INC.",210 WEST 131ST STREET,NEW YORK,10001,646-678-4451 
SOCIAL SERVICES ONLY,15602,RAIN ONE STOP SERVICES FOR ELDERLY,REGIONAL AID FOR INTERIM NEEDS INC ,1380 METROPOLITAN AVENUE,BRONX,10462,718-239-4358 
SOCIAL SERVICES ONLY,15E02,Neighborhood SHOPP SNAP,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,910 EAST 172ND STREET,BRONX,10460,718-620-4650 
SOCIAL SERVICES ONLY,20602,Polish and Slavic Extended Social Services,POLISH & SLAVIC CENTER INC  ,176 JAVA STREET,BROOKLYN,11222,718-383-3324 
SOCIAL SERVICES ONLY,28D02,AMICO Extended Services,AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC\AM,138 BAY 20TH  STREET,BROOKLYN,11214,718-256-3445 
SOCIAL SERVICES ONLY,31203,BURDEN CENTER ON AGING,"CARTER BURDEN NETWORK, INC.",351 EAST 74TH STREET,NEW YORK,10021,212-879-7400 
TRANSPORTATION ONLY,53801,CASC TRANSPORTATION,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,56 BAY STREET,STATEN ISLAND,10301,718-981-6226 
